
09/03/2016 14:00, 72.0, 0, 0.00, 64, 59, 0, 
09/03/2016 13:00, 72.0, 0, 0.00, 65, 60, 0, 
09/03/2016 12:00, 70.0, 0.00, 82, 64, 0, 
09/03/2016 11:00, 68.0, 19, 0.00, 91, 65, 60, 
09/03/2016 10:00, 63.0, 54, 0.00, 100, 63, 60, 
09/03/2016 09:00, 56.0, 60, 0.00, 100, 56, 60, 
09/03/2016 08:00, 51.0, 60, 0.00, 100, 51, 60, 
09/03/2016 07:00, 43.0, 58, 0.00, 100, 43, 60, 
09/03/2016 06:00, 47.0, 48, 0.00, 100, 47, 60, 
09/03/2016 05:00, 45.0, 17, 0.00, 100, 45, 60, 
09/03/2016 04:00, 46.0, 0, 0.00, 100, 46, 60, 
09/03/2016 03:00, 46.0, 0, 0.00, 100, 46, 60, 
09/03/2016 02:00, 48.0, 0, 0.00, 100, 48, 60, 
09/03/2016 01:00, 48.0, 0, 0.00, 100, 48, 60, 
09/03/2016 00:00, 49.0, 0, 0.00, 100, 49, 60, 
09/01/2016 23:00, 53.0, 0, 0.00, 100, 53, 60, 
09/01/2016 22:00, 54.0, 0, 0.00, 100, 54, 60, 
09/01/2016 21:00, 56.0, 0, 0.00, 100, 56, 60, 
09/01/2016 20:00, 58.0, 0, 0.00, 100, 58, 60, 
09/01/2016 19:00, 63.0, 0, 0.00, 92, 61, 60, 
09/01/2016 18:00, 65.0, 0, 0.00, 88, 61, 0, 
09/01/2016 17:00, 69.0, 0, 0.00, 83, 64, 0, 
09/01/2016 16:00, 67.0, 0, 0.00, 91, 64, 60, 
09/01/2016 15:00, 67.0, 0, 0.00, 90, 64, 60, 
09/01/2016 14:00, 67.0, 0, 0.04, 86, 63, 60, 
09/01/2016 13:00, 71.0, 0, 0.00, 82, 65, 0, 
09/01/2016 12:00, 68.0, 0, 0.00, 94, 66, 60, 
09/01/2016 11:00, 70.0, 0, 0.00, 90, 67, 60, 
09/01/2016 10:00, 68.0, 0, 0.00, 91, 65, 60, 
09/01/2016 09:00, 64.0, 0, 0.00, 100, 64, 60, 
09/01/2016 08:00, 60.0, 0, 0.00, 100, 60, 60, 
09/01/2016 07:00, 58.0, 0, 0.00, 100, 58, 60, 
09/01/2016 06:00, 60.0, 0, 0.00, 100, 60, 60, 
09/01/2016 05:00, 60.0, 0, 0.00, 100, 60, 60, 
09/01/2016 04:00, 60.0, 0, 0.00, 100, 60, 60, 
09/01/2016 03:00, 61.0, 0, 0.00, 100, 61, 60, 
09/01/2016 02:00, 60.0, 0, 0.00, 100, 60, 60, 
09/01/2016 01:00, 62.0, 0, 0.00, 100, 62, 60, 
09/01/2016 00:00, 65.0, 21, 0.00, 100, 65, 60, Values in brown italics were estimated from adjacent hours or a nearby location. More information is available on the estimation technique., 
09/30/2016 23:00, 50.0, 0, 0.00, 100, 50, 60, 
09/30/2016 22:00, 50.0, 0, 0.00, 100, 50, 60, 
09/30/2016 21:00, 51.0, 0, 0.00, 100, 51, 60, 
09/30/2016 20:00, 51.0, 0, 0.00, 100, 51, 60, 
09/30/2016 19:00, 52.0, 0, 0.00, 100, 52, 60, 
09/30/2016 18:00, 52.0, 0, 0.00, 100, 52, 60, 
09/30/2016 17:00, 54.0, 8, 0.00, 100, 54, 60, 
09/30/2016 16:00, 59.0, 0, 0.00, 100, 59, 60, 
09/30/2016 15:00, 62.0, 0, 0.00, 100, 62, 60, 
09/30/2016 14:00, 60.0, 0, 0.00, 100, 60, 60, 
09/30/2016 13:00, 58.0, 0, 0.00, 100, 58, 60, 
09/30/2016 12:00, 58.0, 0, 0.00, 100, 58, 60, 
09/30/2016 11:00, 55.0, 0, 0.00, 100, 55, 60, 
09/30/2016 10:00, 55.0, 0, 0.00, 100, 55, 60, 
09/30/2016 09:00, 52.0, 0, 0.00, 100, 52, 60, 
09/30/2016 08:00, 51.0, 0, 0.00, 100, 51, 60, 
09/30/2016 07:00, 52.0, 0, 0.00, 100, 52, 60, 
09/30/2016 06:00, 52.0, 0, 0.00, 100, 52, 60, 
09/30/2016 05:00, 52.0, 0, 0.00, 100, 52, 60, 
09/30/2016 04:00, 53.0, 0, 0.00, 100, 53, 60, 
09/30/2016 03:00, 53.0, 0, 0.00, 100, 53, 60, 
09/30/2016 02:00, 53.0, 0, 0.00, 100, 53, 60, 
09/30/2016 01:00, 53.0, 0, 0.00, 100, 53, 60, 
09/30/2016 00:00, 53.0, 0, 0.00, 100, 53, 60, 
09/28/2016 23:00, 59.0, 0, 0.00, 97, 58, 60, 
09/28/2016 22:00, 59.0, 0, 0.00, 96, 58, 60, 
09/28/2016 21:00, 59.0, 0, 0.00, 97, 58, 60, 
09/28/2016 20:00, 60.0, 0, 0.00, 94, 58, 60, 
09/28/2016 19:00, 62.0, 0, 0.00, 87, 58, 0, 
09/28/2016 18:00, 66.0, 0, 0.00, 75, 58, 0, 
09/28/2016 17:00, 69.0, 0, 0.00, 61, 55, 0, 
09/28/2016 16:00, 68.0, 0, 0.00, 55, 51, 0, 
09/28/2016 15:00, 72.0, 0, 0.00, 48, 51, 0, 
09/28/2016 14:00, 70.0, 0, 0.00, 48, 49, 0, 
09/28/2016 13:00, 68.0, 0, 0.00, 65, 56, 0, 
09/28/2016 12:00, 67.0, 0, 0.00, 70, 57, 0, 
09/28/2016 11:00, 64.0, 0, 0.00, 81, 58, 0, 
09/28/2016 10:00, 61.0, 0, 0.00, 78, 54, 0, 
09/28/2016 09:00, 58.0, 0, 0.00, 78, 51, 0, 
